S.N.,Date,Traded Companies,Ticker,No. Of Transaction,High,Low,Close,Traded Shares,Amount,Open,Difference Rs.
30,1/4/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,725,725,725,15,10875,720,"5.00 
                                            
"
31,1/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,5,725,725,725,140,101500,725,"0.00 
                                            
"
32,1/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,730,723,730,695,503775,725,"5.00 
                                            
"
33,1/12/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,730,730,730,159,116070,730,"0.00 
                                            
"
34,1/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,730,730,730,105,76650,730,"0.00 
                                            
"
35,1/16/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,735,735,735,75,55125,730,"5.00 
                                            
"
36,1/18/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,749,749,749,30,22470,735,"14.00 
                                            
"
37,1/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,793,759,793,83,63850,749,"44.00 
                                            
"
38,1/23/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,808,792,792,210,166480,793,"-1.00 
                                             
"
39,1/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,777,777,777,2098,1630146,792,"-15.00 
                                             
"
40,2/2/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,792,791,792,150,118790,777,"15.00 
                                            
"
41,2/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,792,777,785,1136,891650,792,"-7.00 
                                             
"
42,2/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,785,785,785,25,19625,785,"0.00 
                                            
"
43,2/7/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,785,785,785,30,23550,785,"0.00 
                                            
"
44,2/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,770,770,770,30,23100,785,"-15.00 
                                             
"
45,2/10/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,785,770,770,195,152625,770,"0.00 
                                            
"
46,2/14/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,771,771,771,95,73245,770,"1.00 
                                            
"
47,2/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,781,773,781,40,31145,771,"10.00 
                                            
"
48,2/17/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,780,780,780,30,23400,781,"-1.00 
                                             
"
49,2/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,780,780,780,15,11700,780,"0.00 
                                            
"
50,2/21/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,790,785,790,54,42585,780,"10.00 
                                            
"
51,2/22/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,780,780,780,135,105300,790,"-10.00 
                                             
"
52,2/23/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,780,780,780,30,23400,780,"0.00 
                                            
"
53,2/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,9,785,780,780,184,143685,780,"0.00 
                                            
"
54,2/27/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,780,780,780,90,70200,780,"0.00 
                                            
"
55,2/28/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,780,780,780,60,46800,780,"0.00 
                                            
"
56,3/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,9,785,726,726,175,134240,780,"-54.00 
                                             
"
57,3/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,720,720,720,60,43200,726,"-6.00 
                                             
"
58,3/14/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,721,721,721,13,9373,720,"1.00 
                                            
"
59,3/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,725,721,725,118,85138,721,"4.00 
                                            
"
60,3/17/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,721,721,721,120,86520,725,"-4.00 
                                             
"
61,3/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,725,725,725,13,9425,721,"4.00 
                                            
"
62,3/29/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,725,725,725,60,43500,725,"0.00 
                                            
"
63,3/31/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,715,715,715,20,14300,725,"-10.00 
                                             
"
64,4/18/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,701,701,701,450,315450,715,"-14.00 
                                             
"
65,4/27/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,701,701,701,30,21030,701,"0.00 
                                            
"
66,5/2/2011,Nepal Life Insurance Co. Ltd.,NLIC,5,687,648,648,3083,2024499,701,"-53.00 
                                             
"
67,5/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,648,648,648,30,19440,648,"0.00 
                                            
"
68,5/5/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,660,660,660,100,66000,648,"12.00 
                                            
"
69,5/12/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,647,640,640,130,83900,660,"-20.00 
                                             
"
70,5/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,660,647,647,235,154290,640,"7.00 
                                            
"
71,5/19/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,635,635,635,15,9525,647,"-12.00 
                                             
"
72,5/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,630,630,630,30,18900,635,"-5.00 
                                             
"
73,5/30/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,618,606,606,88,53688,630,"-24.00 
                                             
"
74,6/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,594,594,594,100,59400,606,"-12.00 
                                             
"
75,6/14/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,583,572,572,60,34716,594,"-22.00 
                                             
"
76,6/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,561,561,561,24,13464,572,"-11.00 
                                             
"
77,6/16/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,561,558,558,930,521685,561,"-3.00 
                                             
"
78,6/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,590,569,590,51,29613,558,"32.00 
                                            
"
79,6/23/2011,Nepal Life Insurance Co. Ltd.,NLIC,5,647,601,647,109,68741,590,"57.00 
                                            
"
80,6/26/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,659,659,659,59,38881,647,"12.00 
                                            
"
81,6/29/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,672,659,659,220,145240,659,"0.00 
                                            
"
82,6/30/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,646,640,640,250,160600,659,"-19.00 
                                             
"
83,7/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,628,616,616,290,179960,640,"-24.00 
                                             
"
84,7/4/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,605,605,605,143,86515,616,"-11.00 
                                             
"
85,7/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,600,600,600,20,12000,605,"-5.00 
                                             
"
86,7/12/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,599,577,599,95,55860,600,"-1.00 
                                             
"
87,7/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,588,577,577,30,17475,599,"-22.00 
                                             
"
88,7/14/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,566,566,566,30,16980,577,"-11.00 
                                             
"
89,7/18/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,577,577,577,17,9809,566,"11.00 
                                            
"
90,7/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,5,600,588,600,641,377952,577,"23.00 
                                            
"
91,7/21/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,600,590,591,125,74295,600,"-9.00 
                                             
"
92,7/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,585,585,585,23,13455,591,"-6.00 
                                             
"
93,7/25/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,577,575,577,55,31675,585,"-8.00 
                                             
"
94,7/31/2011,Nepal Life Insurance Co. Ltd.,NLIC,7,577,577,577,453,261381,577,"0.00 
                                            
"
95,8/2/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,610,588,610,62,37116,577,"33.00 
                                            
"
96,8/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,601,601,601,125,75125,610,"-9.00 
                                             
"
97,8/8/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,600,600,600,156,93600,601,"-1.00 
                                             
"
98,8/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,600,595,600,306,182250,600,"0.00 
                                            
"
99,8/16/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,610,610,610,345,210450,600,"10.00 
                                            
"
100,8/17/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,610,610,610,30,18300,610,"0.00 
                                            
"
101,8/23/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,601,598,601,120,71865,610,"-9.00 
                                             
"
102,8/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,600,600,600,100,60000,601,"-1.00 
                                             
"
103,8/28/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,590,580,580,75,43650,600,"-20.00 
                                             
"
104,8/29/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,570,570,570,2655,1513350,580,"-10.00 
                                             
"
105,8/30/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,559,559,559,12,6708,570,"-11.00 
                                             
"
106,9/1/2011,Nepal Life Insurance Co. Ltd.,NLIC,8,570,559,570,375,213585,559,"11.00 
                                            
"
107,9/4/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,570,570,570,30,17100,570,"0.00 
                                            
"
108,9/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,560,560,560,27,15120,570,"-10.00 
                                             
"
109,9/7/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,550,550,550,60,33000,560,"-10.00 
                                             
"
110,9/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,550,539,539,147,79395,550,"-11.00 
                                             
"
111,9/18/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,529,529,529,45,23805,539,"-10.00 
                                             
"
112,9/19/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,525,525,525,15,7875,529,"-4.00 
                                             
"
113,9/25/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,545,535,545,40,21600,525,"20.00 
                                            
"
114,9/26/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,535,535,535,42,22470,545,"-10.00 
                                             
"
115,9/29/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,545,545,545,15,8175,535,"10.00 
                                            
"
116,10/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,545,545,545,12,6540,545,"0.00 
                                            
"
117,10/10/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,545,545,545,15,8175,545,"0.00 
                                            
"
118,10/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,555,555,555,30,16650,545,"10.00 
                                            
"
119,11/2/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,565,565,565,20,11300,555,"10.00 
                                            
"
120,11/3/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,595,576,595,50,29400,565,"30.00 
                                            
"
121,11/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,606,596,606,34,20364,595,"11.00 
                                            
"
122,11/8/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,615,610,615,225,137450,606,"9.00 
                                            
"
123,11/9/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,615,603,615,133,81555,615,"0.00 
                                            
"
124,11/10/2011,Nepal Life Insurance Co. Ltd.,NLIC,9,664,620,660,635,416410,615,"45.00 
                                            
"
125,11/13/2011,Nepal Life Insurance Co. Ltd.,NLIC,8,673,670,670,414,278002,660,"10.00 
                                            
"
126,11/14/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,657,635,635,224,146608,670,"-35.00 
                                             
"
127,11/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,11,623,600,600,4020,2412340,635,"-35.00 
                                             
"
128,11/16/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,610,600,600,788,473800,600,"0.00 
                                            
"
129,11/17/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,612,600,612,2015,1209180,600,"12.00 
                                            
"
130,11/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,600,600,600,840,504000,612,"-12.00 
                                             
"
131,11/21/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,610,601,610,27,16362,600,"10.00 
                                            
"
132,11/24/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,601,590,590,117,69712,610,"-20.00 
                                             
"
133,11/27/2011,Nepal Life Insurance Co. Ltd.,NLIC,2,601,601,601,24,14424,590,"11.00 
                                            
"
134,11/28/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,602,602,602,50,30100,601,"1.00 
                                            
"
135,12/6/2011,Nepal Life Insurance Co. Ltd.,NLIC,4,606,595,606,503,300538,602,"4.00 
                                            
"
136,12/7/2011,Nepal Life Insurance Co. Ltd.,NLIC,6,605,600,600,686,414284,606,"-6.00 
                                             
"
137,12/15/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,589,589,589,24,14136,600,"-11.00 
                                             
"
138,12/20/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,590,590,590,24,14160,589,"1.00 
                                            
"
139,12/27/2011,Nepal Life Insurance Co. Ltd.,NLIC,1,579,579,579,24,13896,590,"-11.00 
                                             
"
140,12/28/2011,Nepal Life Insurance Co. Ltd.,NLIC,3,590,590,590,165,97350,579,"11.00 
                                            
"
141,12/29/2011,Nepal Life Insurance Co. Ltd.,NLIC,22,600,599,600,330,197685,590,"10.00 
                                            
"
142,1/4/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,589,558,558,3045,1700040,600,"-42.00 
                                             
"
143,1/5/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,569,569,569,375,213375,558,"11.00 
                                            
"
144,1/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,8,615,580,615,250,150515,569,"46.00 
                                            
"
145,1/16/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,627,627,627,200,125400,615,"12.00 
                                            
"
146,1/17/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,627,615,627,80,49440,627,"0.00 
                                            
"
147,1/22/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,625,625,625,45,28125,627,"-2.00 
                                             
"
148,1/23/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,627,621,621,525,329025,625,"-4.00 
                                             
"
149,1/26/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,621,621,621,376,233496,621,"0.00 
                                            
"
150,1/29/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,622,620,622,150,93060,621,"1.00 
                                            
"
151,1/31/2012,Nepal Life Insurance Co. Ltd.,NLIC,5,632,620,632,250,156080,622,"10.00 
                                            
"
152,2/1/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,635,631,631,560,354560,632,"-1.00 
                                             
"
153,2/2/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,631,631,631,50,31550,631,"0.00 
                                            
"
154,2/5/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,635,632,635,45,28485,631,"4.00 
                                            
"
155,2/6/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,647,647,647,200,129400,635,"12.00 
                                            
"
156,2/7/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,640,635,640,1015,649525,647,"-7.00 
                                             
"
157,2/8/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,640,640,640,15,9600,640,"0.00 
                                            
"
158,2/14/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,640,635,640,45,28695,640,"0.00 
                                            
"
159,2/15/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,650,645,645,43,27835,640,"5.00 
                                            
"
160,2/23/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,641,640,641,138,88443,645,"-4.00 
                                             
"
161,2/26/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,642,642,642,172,110424,641,"1.00 
                                            
"
162,2/29/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,654,654,654,53,34662,642,"12.00 
                                            
"
163,3/1/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,650,650,650,30,19500,654,"-4.00 
                                             
"
164,3/4/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,650,650,650,108,70200,650,"0.00 
                                            
"
165,3/5/2012,Nepal Life Insurance Co. Ltd.,NLIC,5,660,647,650,135,88230,650,"0.00 
                                            
"
166,3/6/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,660,650,660,43,28250,650,"10.00 
                                            
"
167,3/11/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,660,660,660,500,330000,660,"0.00 
                                            
"
168,3/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,659,647,659,28,18272,660,"-1.00 
                                             
"
169,3/13/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,659,659,659,20,13180,659,"0.00 
                                            
"
170,3/14/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,655,655,655,1250,818750,659,"-4.00 
                                             
"
171,3/19/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,645,645,645,4395,2834775,655,"-10.00 
                                             
"
172,3/20/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,640,640,640,27,17280,645,"-5.00 
                                             
"
173,3/25/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,640,630,630,160,101650,640,"-10.00 
                                             
"
174,3/28/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,640,630,630,36107,22749070,630,"0.00 
                                            
"
175,4/1/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,640,640,640,1000,640000,630,"10.00 
                                            
"
176,4/3/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,640,640,640,175,112000,640,"0.00 
                                            
"
177,4/4/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,640,630,630,25,15850,640,"-10.00 
                                             
"
178,4/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,642,642,642,20,12840,630,"12.00 
                                            
"
179,4/15/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,654,654,654,10,6540,642,"12.00 
                                            
"
180,4/16/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,693,667,693,40,27200,654,"39.00 
                                            
"
181,4/17/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,706,706,706,13,9178,693,"13.00 
                                            
"
182,4/18/2012,Nepal Life Insurance Co. Ltd.,NLIC,6,776,719,776,95,70270,706,"70.00 
                                            
"
183,4/19/2012,Nepal Life Insurance Co. Ltd.,NLIC,9,837,791,829,894,739516,776,"53.00 
                                            
"
184,4/22/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,820,820,820,10,8200,829,"-9.00 
                                             
"
185,4/24/2012,Nepal Life Insurance Co. Ltd.,NLIC,9,846,815,830,1776,1473540,820,"10.00 
                                            
"
186,4/25/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,835,830,835,1500,1250000,830,"5.00 
                                            
"
187,4/26/2012,Nepal Life Insurance Co. Ltd.,NLIC,12,846,814,820,6259,5192836,835,"-15.00 
                                             
"
188,4/29/2012,Nepal Life Insurance Co. Ltd.,NLIC,16,861,820,861,3980,3298885,820,"41.00 
                                            
"
189,5/3/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,861,861,861,23,19803,861,"0.00 
                                            
"
190,5/8/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,861,861,861,305,262605,861,"0.00 
                                            
"
191,5/9/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,895,878,895,60,53160,861,"34.00 
                                            
"
192,5/16/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,928,911,928,80,73150,895,"33.00 
                                            
"
193,5/22/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,910,910,910,10,9100,928,"-18.00 
                                             
"
194,5/24/2012,Nepal Life Insurance Co. Ltd.,NLIC,8,945,892,945,262,238330,910,"35.00 
                                            
"
195,5/27/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,963,945,945,20,19080,945,"0.00 
                                            
"
196,6/10/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,927,927,927,15,13905,945,"-18.00 
                                             
"
197,6/11/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,909,909,909,30,27270,927,"-18.00 
                                             
"
198,6/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,927,927,927,10,9270,909,"18.00 
                                            
"
199,6/19/2012,Nepal Life Insurance Co. Ltd.,NLIC,13,909,866,899,155,138245,927,"-28.00 
                                             
"
200,7/2/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,899,899,899,60,53940,899,"0.00 
                                            
"
201,7/9/2012,Nepal Life Insurance Co. Ltd.,NLIC,14,882,810,810,260,218640,899,"-89.00 
                                             
"
202,7/10/2012,Nepal Life Insurance Co. Ltd.,NLIC,21,794,756,767,672,515356,810,"-43.00 
                                             
"
203,7/11/2012,Nepal Life Insurance Co. Ltd.,NLIC,10,785,774,780,1195,936740,767,"13.00 
                                            
"
204,7/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,8,785,766,785,185,143490,780,"5.00 
                                            
"
205,7/15/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,785,785,785,500,392500,785,"0.00 
                                            
"
206,7/17/2012,Nepal Life Insurance Co. Ltd.,NLIC,35,804,785,795,1821,1446827,785,"10.00 
                                            
"
207,7/18/2012,Nepal Life Insurance Co. Ltd.,NLIC,8,803,795,803,2060,1645892,795,"8.00 
                                            
"
208,7/19/2012,Nepal Life Insurance Co. Ltd.,NLIC,11,815,800,815,1404,1134710,803,"12.00 
                                            
"
209,7/22/2012,Nepal Life Insurance Co. Ltd.,NLIC,12,846,804,846,2531,2054815,815,"31.00 
                                            
"
210,7/23/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,850,830,850,406,342880,846,"4.00 
                                            
"
211,7/24/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,845,833,845,1376,1154268,850,"-5.00 
                                             
"
212,7/25/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,840,840,840,823,691320,845,"-5.00 
                                             
"
213,7/26/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,841,841,841,30,25230,840,"1.00 
                                            
"
214,7/30/2012,Nepal Life Insurance Co. Ltd.,NLIC,7,870,848,860,2877,2449689,841,"19.00 
                                            
"
215,7/31/2012,Nepal Life Insurance Co. Ltd.,NLIC,1,860,860,860,24,20640,860,"0.00 
                                            
"
216,8/1/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,865,865,865,60,51900,860,"5.00 
                                            
"
217,8/5/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,865,849,849,582,502118,865,"-16.00 
                                             
"
218,8/6/2012,Nepal Life Insurance Co. Ltd.,NLIC,9,865,864,864,299,258506,849,"15.00 
                                            
"
219,8/7/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,865,865,865,515,445475,864,"1.00 
                                            
"
220,8/12/2012,Nepal Life Insurance Co. Ltd.,NLIC,8,881,865,871,699,607959,865,"6.00 
                                            
"
221,8/13/2012,Nepal Life Insurance Co. Ltd.,NLIC,9,879,865,879,988,855154,871,"8.00 
                                            
"
222,8/14/2012,Nepal Life Insurance Co. Ltd.,NLIC,9,880,866,875,1472,1283670,879,"-4.00 
                                             
"
223,8/15/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,878,870,870,814,709765,875,"-5.00 
                                             
"
224,8/16/2012,Nepal Life Insurance Co. Ltd.,NLIC,5,885,870,885,712,620484,870,"15.00 
                                            
"
225,8/19/2012,Nepal Life Insurance Co. Ltd.,NLIC,3,885,875,876,928,813123,885,"-9.00 
                                             
"
226,8/21/2012,Nepal Life Insurance Co. Ltd.,NLIC,4,875,870,870,2577,2251375,876,"-6.00 
                                             
"
227,8/22/2012,Nepal Life Insurance Co. Ltd.,NLIC,5,870,865,870,72,62580,870,"0.00 
                                            
"
228,8/23/2012,Nepal Life Insurance Co. Ltd.,NLIC,2,890,885,890,132,117420,870,"20.00 
                                            
"
229,8/27/2012,Nepal Life Insurance Co. Ltd.,NLIC,14,890,875,875,3835,3358125,890,"-15.00 
                                             
"
